Barrios,Cantidad
Agronomía,454
Almagro,4914
Balvanera,9239
Barracas,3711
Belgrano,4003
Boedo,1806
Caballito,4962
Chacarita,1452
Coghlan,476
Colegiales,1468
Constitución,3592
Flores,5518
Floresta,1555
La Boca,1683
La Paternal,660
Liniers,1783
Mataderos,2497
Monserrat,3227
Monte Castro,919
Nueva Pompeya,2652
Nuñez,1804
Palermo,9560
Parque Avellaneda,1805
Parque Chacabuco,2250
Parque Chas,482
Parque Patricios,1875
Puerto Madero,283
Recoleta,5589
Retiro,3933
Saavedra,1830
San Cristóbal,1896
San Nicolás,6246
San Telmo,1595
Versalles,392
Villa Crespo,3144
Villa Devoto,1821
Villa General Mitre,1059
Villa Lugano,3839
Villa Luro,943
Villa Ortuzar,645
Villa Pueyrredón,1094
Villa Real,343
Villa Riachuelo,520
Villa Santa Rita,1002
Villa Soldati,1716
Villa Urquiza,2519
Villa del Parque,1312
Vélez Sársfield,1003
