barrio,comuna,perimetro,area,Latitude,Longitude,poblacion
Chacarita,15,7724.85,3115707.11,-34.5880107,-58.4541562,27761
La Paternal,15,7087.51,2229829.03,-34.5977397,-58.4701995,19717
Villa Crespo,15,8131.86,3615977.56,-34.5983947,-58.4424743,81959
Villa del Parque,11,7705.39,3399595.64,-34.6047975,-58.4938209,55273
Almagro,5,8537.9,4050752.25,-34.6099883,-58.4222331,131699
Caballito,6,10990.96,6851028.91,-34.6200773,-58.4424893,176076
Villa Santa Rita,11,5757.75,2153690.81,-34.6160781,-58.4827416,33325
Monte Castro,10,7361.04,2627481.33,-34.6188385,-58.5059465,33623
Villa Real,10,5070.97,1334146.08,-34.6189432,-58.5258765,13419
Flores,7,15772.44,8590784.13,-34.6282028,-58.4622184,164310
Floresta,10,7519.65,2320640.74,-34.6281055,-58.4837914,37575
Constitución,1,6326.84,2101995.0,-34.624246,-58.3836324,44107
San Cristóbal,3,5987.23,2043711.12,-34.6240603,-58.4023896,48611
Boedo,5,6602.51,2609850.88,-34.6302518,-58.41879,47306
Vélez Sarsfield,10,7045.58,2400518.33,-34.6311961,-58.4925556,35081
Villa Luro,10,8652.93,2566936.87,-34.6370747,-58.5015075,32502
Parque Patricios,4,7878.43,3743440.0,-34.6374817,-58.4012386,40985
Mataderos,9,11124.64,7398178.84,-34.6578631,-58.5017617,64436
Villa Lugano,8,15057.47,9296142.36,-34.6741532,-58.4776892,126374
San Telmo,1,5178.03,1232270.16,-34.6214013,-58.37375,20453
Saavedra,12,11132.14,5538676.83,-34.5525291,-58.4862759,50295
Coghlan,12,4627.56,1279951.37,-34.5599096,-58.4747142,18604
Villa Urquiza,12,10021.46,5449058.92,-34.5732414,-58.4914785,91563
Colegiales,13,6374.62,2289774.1,-34.5745154,-58.4522819,52551
Balvanera,3,8375.82,4342280.27,-34.6092155,-58.4031396,138926
Villa General Mitre,11,6290.44,2162275.12,-34.6103098,-58.4693142,34713
Parque Chas,15,4531.25,1385411.51,-34.5855111,-58.4793049,17489
Agronomía,15,6556.17,2122169.34,-34.5915159,-58.4853851,13912
Villa Ortúzar,15,5685.0,1853802.05,-34.581302,-58.4682453,21736
Barracas,4,12789.79,7953453.43,-34.6452854,-58.3875619,89452
Parque Avellaneda,9,10165.61,4732708.21,-34.6494803,-58.4769052,53229
Parque Chacabuco,7,8406.91,3832116.7,-34.638368,-58.4387012,56281
Nueva Pompeya,4,11033.51,4951510.87,-34.6526296,-58.4147098,42695
Palermo,14,22126.53,15845871.29,-34.5803362,-58.4245236,226534
Villa Riachuelo,8,10596.83,4232595.92,-34.6912065,-58.47145,14084
Villa Soldati,8,12441.7,8688163.56,-34.6662898,-58.4459552,46779
Villa Pueyrredón,12,7522.36,3303239.51,-34.5794479,-58.5040849,39654
Villa Devoto,11,11562.01,6404480.85,-34.6009939,-58.5155164,66521
Liniers,9,9256.93,4374418.74,-34.642403,-58.5201245,44132
Versalles,10,5650.47,1406833.6,-34.628928,-58.5232987,13822
Puerto Madero,1,17725.72,5040970.89,-34.6103764,-58.3622067,6726
Monserrat,1,6739.22,2198621.94,-34.6115595,-58.3841265,39914
San Nicolás,1,6548.08,2289007.58,-34.6044631,-58.3844969,29273
Belgrano,13,20609.78,7999239.81,-34.5613076,-58.4565454,126267
Recoleta,2,21452.84,6317264.56,-34.587358,-58.39157,157932
Retiro,1,18837.99,4512710.91,-34.5916426,-58.373307,65413
Núñez,13,10785.26,4424199.27,-34.5453484,-58.4621491,51949
La Boca,4,20060.0,5036240.45,-34.6335103,-58.3590424,45113
